PROVINCE,GEO_NAME,DIM: Household total income groups (14),DIM: Household type including census family structure (16),DIM: Housing suitability (3),DIM: Dwelling condition (3),DIM: Shelter-cost-to-income ratio (5),Dim: Tenure (4): Member ID: [1]: Total - Tenure,Fraction of Total
ON,Cobourg,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,670,0.817073171
ON,Cobourg,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,150,0.182926829
ON,Cobourg,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Cobourg,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,710,1.007042254
ON,Cobourg,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,615,0.866197183
ON,Cobourg,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,100,0.14084507
ON,Cobourg,"$60,000 to $69,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Cobourg,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,600,1
ON,Cobourg,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,550,0.916666667
ON,Cobourg,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,50,0.083333333
ON,Cobourg,"$70,000 to $79,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Cobourg,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,575,1
ON,Cobourg,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,540,0.939130435
ON,Cobourg,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,35,0.060869565
ON,Cobourg,"$80,000 to $89,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Cobourg,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,470,0.989361702
ON,Cobourg,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,465,0.989361702
ON,Cobourg,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,0,0
ON,Cobourg,"$90,000 to $99,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Cobourg,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,2265,0.997792494
ON,Cobourg,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,2225,0.982339956
ON,Cobourg,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,35,0.015452539
ON,Cobourg,"$100,000 and over",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Port Hope,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,130,0.923076923
ON,Port Hope,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,20,0.153846154
ON,Port Hope,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,100,0.769230769
ON,Port Hope,"Under $10,000",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Port Hope,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,425,1.011764706
ON,Port Hope,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,50,0.117647059
ON,Port Hope,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,380,0.894117647
ON,Port Hope,"$10,000 to $19,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Port Hope,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,560,0.982142857
ON,Port Hope,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,165,0.294642857
ON,Port Hope,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,385,0.6875
ON,Port Hope,"$20,000 to $29,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Port Hope,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,580,1
ON,Port Hope,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,320,0.551724138
ON,Port Hope,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,260,0.448275862
ON,Port Hope,"$30,000 to $39,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Port Hope,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,565,0.973451327
ON,Port Hope,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,375,0.663716814
ON,Port Hope,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,175,0.309734513
ON,Port Hope,"$40,000 to $49,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Not applicable,,0
ON,Port Hope,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Total - Shelter-cost-to-income ratio,585,1
ON,Port Hope,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending less than 30% of income on shelter costs,440,0.752136752
ON,Port Hope,"$50,000 to $59,999",Total - Household type including census family structure,Total - Housing suitability,Total - Dwelling condition,Spending 30% or more of income on shelter costs,145,0.247863248
